Sample	R1	R2	plate	location	name	group	genotype	sex
MB019-B07	/mnt/data/sbusi/vip/data/fastq/MB019_B07_S19_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB019_B07_S19_R2_001.fastq.gz	180817_MB	B07	MB019	VPAC1	WT	Male
MB019-C8	/mnt/data/sbusi/vip/data/fastq/MB019_C8_S32_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB019_C8_S32_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C8	MB019	VIP	KO	Male
MB020-B08	/mnt/data/sbusi/vip/data/fastq/MB020_B08_S20_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB020_B08_S20_R2_001.fastq.gz	180817_MB	B08	MB020	VPAC1	WT	Male
MB020-C9	/mnt/data/sbusi/vip/data/fastq/MB020_C9_S33_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB020_C9_S33_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C9	MB020	VIP	KO	Male
MB021-B09	/mnt/data/sbusi/vip/data/fastq/MB021_B09_S21_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB021_B09_S21_R2_001.fastq.gz	180817_MB	B09	MB021	VPAC1	WT	Male
MB021-C10	/mnt/data/sbusi/vip/data/fastq/MB021_C10_S34_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB021_C10_S34_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C10	MB021	VIP	KO	Male
MB022-B10	/mnt/data/sbusi/vip/data/fastq/MB022_B10_S22_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB022_B10_S22_R2_001.fastq.gz	180817_MB	B10	MB022	VPAC1	WT	Male
MB022-C11	/mnt/data/sbusi/vip/data/fastq/MB022_C11_S35_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB022_C11_S35_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C11	MB022	VIP	KO	Male
MB023-B11	/mnt/data/sbusi/vip/data/fastq/MB023_B11_S23_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB023_B11_S23_R2_001.fastq.gz	180817_MB	B11	MB023	VPAC1	WT	Male
MB023-C12	/mnt/data/sbusi/vip/data/fastq/MB023_C12_S36_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB023_C12_S36_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C12	MB023	VIP	KO	Male
MB024-B12	/mnt/data/sbusi/vip/data/fastq/MB024_B12_S24_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB024_B12_S24_R2_001.fastq.gz	180817_MB	B12	MB024	VPAC1	WT	Male
MB024-D1	/mnt/data/sbusi/vip/data/fastq/MB024_D1_S37_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB024_D1_S37_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D1	MB024	VIP	KO	Male
MB025-C01	/mnt/data/sbusi/vip/data/fastq/MB025_C01_S25_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB025_C01_S25_R2_001.fastq.gz	180817_MB	C01	MB025	VPAC1	HET	Male
MB025-D2	/mnt/data/sbusi/vip/data/fastq/MB025_D2_S38_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB025_D2_S38_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D2	MB025	VIP	WT	Female
MB026-C02	/mnt/data/sbusi/vip/data/fastq/MB026_C02_S26_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB026_C02_S26_R2_001.fastq.gz	180817_MB	C02	MB026	VPAC1	HET	Male
MB026-D3	/mnt/data/sbusi/vip/data/fastq/MB026_D3_S39_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB026_D3_S39_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D3	MB026	VIP	WT	Female
