sample-id	plate	location	name	group	genotype	sex
MB099-H12	180817_MB	H12	MB099	VPAC2	HET	Female
MB100-A01	180817_MB_JD_MJ_MJ_PA_AL	A01	MB100	VPAC2	HET	Female
MB101-A02	180817_MB_JD_MJ_MJ_PA_AL	A02	MB101	VPAC2	HET	Female
MB102-A03	180817_MB_JD_MJ_MJ_PA_AL	A03	MB102	VPAC2	HET	Female
MB103-A04	180817_MB_JD_MJ_MJ_PA_AL	A04	MB103	VPAC2	HET	Female
MB104-A05	180817_MB_JD_MJ_MJ_PA_AL	A05	MB104	VPAC2	HET	Female
MB105-A06	180817_MB_JD_MJ_MJ_PA_AL	A06	MB105	VPAC2	KO	Female
MB106-A07	180817_MB_JD_MJ_MJ_PA_AL	A07	MB106	VPAC2	KO	Female
MB107-A08	180817_MB_JD_MJ_MJ_PA_AL	A08	MB107	VPAC2	KO	Female
MB108-A09	180817_MB_JD_MJ_MJ_PA_AL	A09	MB108	VPAC2	KO	Female
MB109-A10	180817_MB_JD_MJ_MJ_PA_AL	A10	MB109	VPAC2	KO	Female
MB110-A11	180817_MB_JD_MJ_MJ_PA_AL	A11	MB110	VPAC2	KO	Female
MB111-A12	180817_MB_JD_MJ_MJ_PA_AL	A12	MB111	VPAC2	KO	Female
MB112-B01	180817_MB_JD_MJ_MJ_PA_AL	B01	MB112	VPAC2	KO	Female
